온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
3,3,2,2025-01-20,5.0,3.875716879046792,1.124283120953208
3,3,2,2025-01-31,5.0,4.899544415544079,0.10045558445592118
3,3,2,2025-02-03,5.0,4.557522591958006,0.4424774080419942
3,4,1,2024-11-01,0.0,0.4282301176133333,0.4282301176133333
3,4,1,2024-11-04,0.0,0.1160202948942724,0.1160202948942724
3,4,1,2024-11-11,0.0,0.0,0.0
3,4,1,2024-11-18,1.0,0.0,1.0
3,4,1,2024-11-25,5.0,2.835291323427716,2.164708676572284
3,4,1,2024-12-02,6.0,6.648087846281417,0.6480878462814168
3,4,1,2024-12-09,6.0,6.448135513568444,0.4481355135684444
3,4,1,2024-12-16,5.0,5.073101785859187,0.07310178585918692
3,4,1,2024-12-23,3.0,3.795192344082497,0.7951923440824968
3,4,1,2024-12-30,3.0,3.9786876745361877,0.9786876745361877
3,4,1,2025-01-06,1.0,2.1857841149034227,1.1857841149034227
3,4,1,2025-01-13,4.0,3.7181067382967,0.2818932617033001
3,4,1,2025-01-20,5.0,3.7190972727677027,1.2809027272322973
3,4,1,2025-01-31,7.0,4.921966748930864,2.0780332510691357
3,4,1,2025-02-03,6.0,5.469795201005491,0.5302047989945091
